tag,arm,horizon,seed,rel_l2,rho_mse,success_015,frac_near_origin,max_modulus,adam_epochs,adam_exit,adam_cap,plateau_tol,level,front_arrived,lbfgs_restarts,lbfgs_exit,lbfgs_cap,converged,loss_total,loss_ic,loss_res,loss_reg,final_grad_norm,extensions,adam_seconds,lbfgs_seconds,tau_final,failure_class,residual_small_fraction,residual_peak,t_rho_above_1e-2,t_relL2_above_0.15
reg_unw_T27_s0,reg_unw,27.0,0,2.159417954752925,2.6331356227627323,False,0.0,7.136126533892089,67500,plateau,200000,0.0001,0,False,37,stalled,60,True,0.0002532824514657862,1.710942530081521e-09,0.00025328074052325615,0.0005228423145986049,0.03039624961341888,1,359.0,131.8,,flow-following,0.9500185116623473,462.072864908484,4.45,4.48
reg_unw_T27_s1,reg_unw,27.0,1,2.184731485482369,2.6411227554004726,False,0.0,5.688510833475974,62500,plateau,200000,0.0001,0,False,20,stalled,60,True,1.8388543047355684e-05,1.7637940673639163e-11,1.838852540941501e-05,0.00020914448182015252,0.006110488778127128,1,3.3,81.4,,flow-following,0.9866716031099593,645.4156903684145,0.01,0.01
reg_unw_T27_s2,reg_unw,27.0,2,2.301575235018625,2.9541985964521777,False,0.0,6.694138777942338,60000,plateau,200000,0.0001,0,False,33,stalled,60,True,1.7144776287841633e-05,6.143815098659193e-13,1.7144775673460122e-05,0.0005653568748190934,0.0044850610349381715,1,290.0,119.0,,flow-following,0.9951869677897075,178.2954041036317,0.01,0.01
reg_unw_T27_s3,reg_unw,27.0,3,2.2174424531150327,2.7148892728184166,False,0.0,6.424373643984574,60000,plateau,200000,0.0001,0,False,21,stalled,60,True,0.0001292780111760482,2.6302740054046334e-11,0.00012927798487330817,0.0004969394948670643,0.0019093525360679964,1,110.9,98.4,,flow-following,0.9785264716771566,216.92774606677312,0.02,0.02
reg_unw_T27_s4,reg_unw,27.0,4,1.3466631154132083,0.9770279076672618,False,0.0,3.175695800877229,61500,plateau,200000,0.0001,0,False,12,stalled,60,True,0.048526012110519524,0.0005734807747834664,0.04795253133573606,0.018881653042746794,0.07688600985447623,1,218.3,48.9,,diffuse,0.13920770085153647,0.9360523553776365,0.19,0.49
reg_unw_T27_s5,reg_unw,27.0,5,3.5094007719586697,6.950472112941286,False,0.0,8.719553008209887,71000,plateau,200000,0.0001,0,False,22,stalled,60,True,4.8576256784318984e-05,1.0545300949013072e-11,4.857624623901804e-05,0.0023004001667600704,0.014423609953945182,1,2.9,81.1,,flow-following,0.9959274342835986,360.5644095395092,0.01,0.01
reg_unw_T27_s6,reg_unw,27.0,6,2.3026241581855325,2.9645710353635666,False,0.0,6.616765826664681,60000,plateau,200000,0.0001,0,False,21,stalled,60,True,1.9992910709032446e-05,1.610690516057011e-10,1.999274963998084e-05,0.0005269298847885059,0.014377334096256713,1,162.2,77.3,,flow-following,0.9955572010366531,296.66960157533975,0.01,0.01
reg_unw_T27_s7,reg_unw,27.0,7,1.6783862968682846,1.501878578387341,False,0.46427249166975193,5.244523910735903,66000,plateau,200000,0.0001,0,False,20,stalled,60,True,2.5219924032839072e-05,1.8683487926900066e-11,2.5219905349351146e-05,0.4345084217644219,0.000982752422740634,1,283.9,86.0,,parked,0.9892632358385783,195.08881754475976,0.01,0.01
reg_unw_T27_s8,reg_unw,27.0,8,1.7347949524344275,1.6433050009224661,False,0.0,3.8126621988630913,64750,plateau,200000,0.0001,0,False,4,stalled,60,True,0.06225487538146281,0.0006016845674995685,0.06165319081396324,0.02258787902457044,0.059604342892925065,1,307.0,14.9,,diffuse,0.14698259903739355,111.11120493168,0.17,0.48
reg_unw_T27_s9,reg_unw,27.0,9,1.5834954351460602,1.3460217672449715,False,0.0,4.138087571980354,60000,plateau,200000,0.0001,0,False,4,stalled,60,True,0.04434175480977349,0.0005434292820614443,0.04379832552771205,0.019619427700906262,0.021381927199795397,1,158.2,13.3,,diffuse,0.5090707145501666,286.4901923999442,0.18,0.5
