tag,arm,horizon,seed,rel_l2,rho_mse,success_015,frac_near_origin,max_modulus,adam_epochs,adam_exit,adam_cap,plateau_tol,level,front_arrived,lbfgs_restarts,lbfgs_exit,lbfgs_cap,converged,loss_total,loss_ic,loss_res,loss_reg,final_grad_norm,tau_final,density,extensions,adam_seconds,lbfgs_seconds,failure_class,residual_small_fraction,residual_peak,t_rho_above_1e-2,t_relL2_above_0.15,source,periods,hours,n_points,periods_survived
pseudo_unw_T100_s6,pseudo_unw,100.0,6,0.7117473945757066,0.25104552666667357,False,0.44665533446655337,2.831150311604981,63250,plateau,200000,0.0001,0,False,7,stalled,60,True,0.008990081646252953,3.3705640369977085e-08,0.008990047940612582,,0.008445000188443616,0.9210013790225932,20.0,0,3832.5,92.5,parked,0.8521147885211479,0.846260692118751,11.75,29.29,axes,15.007608424501719,1.0902777777777777,2000,4.395728507536553
pseudo_unw_T100_s7,pseudo_unw,100.0,7,0.8905738296686402,0.39547473036142466,False,0.7633236676332367,2.8222343315285863,60000,plateau,200000,0.0001,0,False,6,stalled,60,True,0.008576435696512565,3.2161164375911455e-09,0.008576432480396128,,0.007370113750778367,1.0967708954134094,20.0,0,1531.4,38.5,parked,0.8769123087691231,0.7466447781893256,9.33,19.11,axes,15.007608424501719,0.4360833333333334,2000,2.8679539699222785
pseudo_unw_T100_s8,pseudo_unw,100.0,8,0.746206550861529,0.2764236931205117,False,0.4988501149885011,2.830019389089988,64500,plateau,200000,0.0001,0,False,7,stalled,60,True,0.008599714385957411,9.316355998796378e-09,0.008599705069601412,,0.0033444273701628453,0.8876748139576282,20.0,0,2423.9,58.1,parked,0.8813118688131187,0.7575973023926755,8.53,29.28,axes,15.007608424501719,0.6894444444444444,2000,4.394227746694104
pseudo_unw_T100_s9,pseudo_unw,100.0,9,0.7665830339896241,0.292793534320494,False,0.5626437356264373,2.8356406227796125,60000,plateau,200000,0.0001,0,False,6,stalled,60,True,0.008617966454973827,2.431540841899967e-09,0.008617964023432985,,0.004394422333499655,1.0214684201074677,20.0,0,3728.1,81.9,parked,0.8832116788321168,0.7740131506767688,37.550000000000004,41.99,axes,15.007608424501719,1.0583333333333333,2000,6.301694777448272
pseudo_unw_T14_s0_d80,pseudo_unw,14.0,0,0.00014608228324149798,9.766366845602283e-09,True,0.0,2.8299384414624784,60000,plateau,200000,0.0001,0,False,10,stalled,60,True,2.6178187626831794e-07,2.4845670846811936e-12,2.6177939170123324e-07,,2.2082749272324825e-05,0.6946459422075841,80.0,0,2270.3,94.1,success,1.0,0.004421232556285135,,,axes,2.1010651794302406,0.6567777777777778,1120,2.1010651794302406
pseudo_unw_T14_s1_d80,pseudo_unw,14.0,1,2.774918565149021e-05,4.790070495250252e-10,True,0.0,2.829936171607581,62250,plateau,200000,0.0001,0,False,10,stalled,60,True,1.9620725881327634e-07,3.2143246817414223e-13,1.9620693738080816e-07,,6.71420267506679e-06,0.7709607081337222,80.0,0,969.2,36.0,success,1.0,0.0025648254527510994,,,axes,2.1010651794302406,0.27922222222222226,1120,2.1010651794302406
pseudo_unw_T14_s2_d80,pseudo_unw,14.0,2,9.212414384795968e-05,4.346745806270253e-09,True,0.0,2.829955193019234,60250,plateau,200000,0.0001,0,False,9,stalled,60,True,6.188129500005594e-07,2.7855427987921934e-12,6.188101644577607e-07,,2.1685078711827976e-05,0.5604325468225027,80.0,0,1332.1,38.8,success,1.0,0.005053460074300745,,,axes,2.1010651794302406,0.3808055555555555,1120,2.1010651794302406
pseudo_unw_T14_s3_d80,pseudo_unw,14.0,3,4.6513451500609774e-05,1.108455203497758e-09,True,0.0,2.82994170584786,60000,plateau,200000,0.0001,0,False,10,stalled,60,True,2.796458194254987e-07,4.311503901966183e-13,2.796453882751085e-07,,1.4935494242858439e-05,0.709830299939248,80.0,0,881.5,34.0,success,1.0,0.003519994462060378,,,axes,2.1010651794302406,0.25430555555555556,1120,2.1010651794302406
pseudo_unw_T14_s4_d80,pseudo_unw,14.0,4,0.0001286876341702573,8.4328895745309e-09,True,0.0,2.82992121302343,62000,plateau,200000,0.0001,0,False,14,stalled,60,True,1.0670103403192666e-06,4.576568602695542e-12,1.0670057637506638e-06,,1.3077665774013604e-05,0.6250571780541283,80.0,0,2219.6,117.0,success,1.0,0.00948535540767658,,,axes,2.1010651794302406,0.6490555555555555,1120,2.1010651794302406
pseudo_unw_T14_s5_d80,pseudo_unw,14.0,5,0.00011003690338183333,5.512417184263592e-09,True,0.0,2.8299865274300697,64500,plateau,200000,0.0001,0,False,9,stalled,60,True,2.80589522077244e-07,4.9388526275568625e-12,2.8058458322461645e-07,,1.8802173085073344e-05,0.5832814901711384,80.0,0,1057.2,31.7,success,1.0,0.010777699866823393,,,axes,2.1010651794302406,0.30247222222222225,1120,2.1010651794302406
